Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,8398674,CADang,"2026-08-10 12:04:58",0.96516,3,cadang
2,15300026,"Andrei Calinescu","2026-09-22 18:52:16",0.91045,600,andreicalinescu
3,14316479,ibra-kdbra,"2026-09-05 19:55:46",0.89782,211,ibrakdabra
4,16267921,kenzo06,"2026-09-05 19:55:13",0.89548,210,kenzo06
5,16618943,"Huang Jing Stark","2026-08-26 03:35:20",0.83726,211,huangjingstark
6,16839436,Jimbo,"2026-09-16 00:07:59",0.82768,81,jimmybrown
7,16762410,Genius740Code,"2026-09-11 18:42:00",0.82698,82,gghgg1
8,16746187,"Hai Dang","2026-08-21 03:43:37",0.82277,20,haidang2405
9,10534604,"नरेश कोपरखैरणे Naresh","2026-08-09 22:44:24",0.82183,1,nakkaggle
10,16560692,"Saharsh Nemuri","2026-09-15 02:11:26",0.82183,14,saharshcs
11,16777178,"David and Will (ECE 6210)","2026-09-23 07:20:51",0.82160,46,"david25252525,willcaron"
12,15536172,peco,"2026-07-28 05:27:24",0.82137,5,fujimorikaori
13,16688343,"Ruiyang Zhang","2026-08-13 05:22:32",0.82137,1,ruiyangzhang23
14,16750550,"Ahmed Yasser","2026-08-22 14:52:21",0.82137,14,ahmedyasser06
15,16755230,dhifnef,"2026-08-21 14:32:43",0.82137,1,dhifnef
16,16755282,Aacceeo,"2026-08-21 14:38:31",0.82137,2,aacceeo
17,16792763,"Ertuğrul Özer","2026-08-30 10:24:24",0.82137,2,ozertuu
18,14573021,"[Deleted] 8496f6cb-0c28-4a16-a6c1-f0abd94df49c","2026-09-01 18:34:02",0.82137,4,del=c83f35d15b196a71
19,16832279,"An Pham #2","2026-09-04 18:18:03",0.82137,4,hoang1711
20,15586820,"Santiago Maniches","2026-09-05 20:57:37",0.82137,9,santmani
21,16867742,"Ahmad Tanveer","2026-09-10 16:18:59",0.82137,1,ahmadtanveerai57
22,16889625,"Chakrit Pukmee","2026-09-14 07:01:38",0.82137,3,chakritpukmee
23,16857733,yeqinxin,"2026-09-18 08:07:24",0.82137,5,yqx123456
24,16944030,"green algeria","2026-09-22 22:41:30",0.82137,2,greenalgeria
25,16947419,"TRẦN VŨ ĐỨC","2026-09-23 14:38:09",0.82137,6,trnvc213
26,16935726,"Md Arafat","2026-09-22 11:34:20",0.81996,3,arafat362
27,16755116,Pinkbanane,"2026-08-22 12:02:07",0.81973,10,pinkbanane
28,16723450,sokoranohimazin,"2026-08-15 08:55:37",0.81949,8,sokoranohimazin
29,11087484,hr15de,"2026-09-09 07:29:07",0.81856,141,hr15de
30,14565936,kj_yo,"2026-09-22 20:05:58",0.81646,15,kjkamosika
31,16895541,"George Megre","2026-09-15 09:06:16",0.81575,10,georgemegre
32,16541695,"Alex Oranov","2026-07-29 11:16:43",0.81505,20,aoranov
33,11735844,"Laurent B","2026-08-31 18:21:16",0.81505,53,"cqfd75,desplanchesmanu"
34,10401572,aegistea,"2026-08-25 04:18:25",0.81482,28,aegistea
35,16680775,"Hoàng Anh","2026-09-04 06:54:53",0.81482,3,pluckysquirrel
36,16240399,mewoooooooo,"2026-07-27 05:28:51",0.81435,5,"h20051123,miyuson,o547547"
37,16943349,RafaelPrado7,"2026-09-23 03:54:53",0.81412,1,rafaelprado7
38,16690754,"Yusuke Hayashi","2026-08-10 10:53:39",0.81388,9,yhay81
39,13871679,ML25-Team02,"2026-07-31 07:16:41",0.81365,1,"c0c01a,eric6990,hantingww,lara0318"
40,16591088,"عزام الفائزي","2026-08-30 22:14:45",0.81318,3,azzamalfayzyz2
41,16947433,"Tùng Lâm","2026-09-23 13:29:17",0.81318,10,lmsinestrea
42,16638118,"Aleksandr Ulianin","2026-08-10 09:06:54",0.81295,74,aleksandrulianin
43,16741181,kif,"2026-09-22 04:15:31",0.81295,32,echigobran
44,16766387,"Саша Тронь","2026-09-15 20:47:59",0.81295,5,sasha9099
45,16810413,"Andre and Kennedy (ECE 6210)","2026-09-23 01:33:32",0.81271,26,"andrearante,kennedyobigw"
46,16594002,"Anton Nesterov","2026-07-29 13:33:31",0.81248,5,nesterow
47,16748821,ChengFoon0602,"2026-08-21 04:32:44",0.81248,15,chengfoon0602
48,16845614,"Ubeen Sim","2026-09-07 13:49:33",0.81248,5,ubeensim
49,16942810,yunzhen618,"2026-09-23 04:34:47",0.81248,15,yunzhen618
50,16272982,kimura3,"2026-07-27 10:14:12",0.81225,18,"hachi6,hayato1121"
51,16750596,"Mohamed Abdalla Mohamed","2026-08-22 23:01:58",0.81225,9,mohamedabdalla33
52,16604349,chmikko,"2026-07-29 13:55:19",0.81201,15,chmikko
53,14208711,"Ciprian Turcu","2026-09-04 22:52:10",0.81201,17,ciprianturcu
54,16933101,GPT,"2026-09-21 14:55:31",0.81201,7,vothehung115522608
55,16593107,Zerng,"2026-07-31 08:02:43",0.81178,24,tayzheheng
56,16554062,MiddleSon,"2026-08-23 03:23:29",0.81178,52,middleson
57,16602394,Paphangkon1412,"2026-07-27 16:52:58",0.81155,2,paphangkon1412
58,16714084,"Uyn Effirg","2026-08-16 03:35:26",0.81155,10,griffenyu
59,16617090,"Nathaniel DeMoro","2026-08-05 01:50:23",0.81131,3,nathanieldemoro
60,16889960,"Tanadon Chaisilaa","2026-09-14 07:36:00",0.81131,5,tanadonchaisilaa
61,16924346,"Wu Hongyi","2026-09-19 09:07:48",0.81131,9,seafoodcf
62,16931188,Nova,"2026-09-20 17:14:57",0.81131,8,sarlnovax
63,16725683,sushi3085,"2026-08-16 06:55:29",0.81108,2,sushi3085
64,16702212,Tah3re,"2026-08-24 16:49:59",0.81108,14,tah3re
65,16655609,Pones_kaggle,"2026-08-29 03:26:13",0.81108,21,pyd966
66,13705640,encredbile,"2026-08-11 04:03:27",0.81084,4,encredbile
67,16717230,"Bjaoui Sara","2026-08-13 12:07:50",0.81084,7,bjaouisara
68,16712823,"Bjaoui Mohamed hedi","2026-08-14 10:42:48",0.81084,11,bjaouimohamedhedi
69,16765742,"Aayush Agarwal","2026-09-14 08:31:33",0.81084,4,aayushagarwal07
70,16722564,"Peter Grif","2026-09-20 10:51:08",0.81084,20,petergrif7
71,16892307,AbilmansurK,"2026-09-18 13:14:00",0.81084,9,abilmansurk
72,16882071,"Ivan Vavdichyk","2026-09-20 12:47:12",0.81084,6,ivanvavdichyk
73,16927266,"three neurons","2026-09-23 00:48:06",0.81084,12,"ajdeluca,samiyaazaidi"
74,16947789,"Mai Leelee","2026-09-23 13:54:27",0.81084,2,maileelee
75,16635880,"Gia Thư Phạm","2026-08-01 14:56:22",0.81061,1,giathphm214
76,16686629,masterjedi1,"2026-08-07 21:02:57",0.81061,6,masterjedi1
77,16750608,"Abdelaziz Mohamed Zeyada","2026-08-23 00:00:09",0.81061,13,abdelazizmohamed1016
78,16604419,hauzanrafi,"2026-07-31 07:32:38",0.81038,12,hauzanrafiattallah
79,16591388,Khongor2424,"2026-08-03 14:28:06",0.81038,20,khongorkikaik21
80,16653070,"Alexandr #2","2026-08-03 14:39:48",0.81038,5,alexandr20136
81,16614520,amleshkashyap,"2026-09-01 12:17:16",0.81038,78,amleshkashyap
82,16727609,"shreyansh patel","2026-08-24 18:11:06",0.81038,19,shreyanshpatel1
83,16920767,Limon4ick,"2026-09-19 05:58:21",0.81038,14,limon4ick
84,16934278,asli,"2026-09-23 10:17:30",0.81038,5,asli77
85,16580828,"Carles Villar Vegara","2026-08-14 16:02:25",0.81014,6,carlesvillarvegara
86,16661311,"Yassir Jaber","2026-08-07 11:50:47",0.81014,5,yassirjaber
87,16623053,"Anish Patil","2026-08-09 11:52:38",0.81014,7,anishpatil2853
88,16715735,Dingshichun,"2026-08-13 08:57:32",0.81014,4,dsc1998
89,13450670,"Mehmet Özel","2026-08-21 11:58:12",0.81014,22,mehmetozell
90,16769930,"Yusuf Romadhon","2026-08-26 12:08:59",0.81014,3,yusufromadhon
91,16859045,"Justine Umutoni","2026-09-12 13:32:45",0.81014,30,justineumutoni
